"SRR1917694_sorted"	"SRR1917695_sorted"	"SRR1917696_sorted"	"SRR1917697_sorted"	"SRR1917698_sorted"	"SRR1917699_sorted"	"SRR1917700_sorted"	"SRR1917701_sorted"	"SRR1917702_sorted"	"SRR1917703_sorted"	"SRR1917704_sorted"	"SRR1917705_sorted"	"SRR1917706_sorted"	"SRR1917707_sorted"	"SRR1917708_sorted"	"SRR1917709_sorted"	"SRR1917710_sorted"	"SRR1917711_sorted"	"SRR1917712_sorted"	"SRR1917713_sorted"	"SRR1917714_sorted"	"SRR1917715_sorted"
"gene:Rv0758"	908	505	762	1415	2036	1717	3009	1505	899	2703	1965	911	267	1549	2071	2965	1510	1914	2051	3701	643	580
"gene:Rv0759c"	636	415	669	1642	1938	1347	2252	1916	837	2142	1424	588	122	1014	805	738	378	374	2101	3843	654	454
"gene:Rv0760c"	384	112	301	871	1030	711	981	694	381	1458	1178	450	52	490	340	420	188	219	1283	2088	211	184
"gene:Rv0761c"	1054	442	837	2711	3607	2648	3353	2056	1298	5516	3871	1622	274	1504	1251	1411	651	843	3607	6066	618	294
"gene:Rv0762c"	173	144	196	189	253	189	312	183	107	327	263	81	18	144	164	209	73	119	253	404	65	40
"gene:Rv0763c"	5	2	12	12	5	0	4	0	6	5	0	4	0	4	0	6	4	1	2	4	0	0
"gene:Rv0764c"	692	1007	1221	600	641	577	551	418	263	886	532	266	99	457	475	839	320	466	841	1394	227	145
"gene:Rv0765c"	257	384	500	134	210	176	172	132	92	258	192	91	20	122	156	321	169	232	169	270	47	31
"gene:Rv0766c"	680	1457	1630	374	445	340	567	366	222	642	463	182	62	375	359	837	364	402	506	942	284	222
"gene:Rv0767c"	491	942	1088	206	140	128	261	130	71	379	255	101	39	132	211	1060	582	740	297	473	119	68
"gene:Rv0768"	1068	2110	2436	370	485	334	665	349	286	518	402	146	45	367	392	946	450	534	408	684	137	102
"gene:Rv0769"	389	643	752	216	310	250	368	307	202	314	192	93	36	164	187	291	119	158	294	478	123	81
"gene:Rv0770"	205	261	306	204	270	186	217	167	91	230	183	58	22	129	184	226	89	167	170	332	66	58
"gene:Rv0771"	68	94	99	100	77	75	70	57	30	93	74	24	6	61	39	68	33	40	64	123	41	19
"gene:Rv0772"	391	169	381	864	1142	896	1493	819	524	1952	1424	670	103	573	481	511	236	320	1311	2210	312	242
"gene:Rv0773c"	582	302	515	1975	2608	1851	1714	1118	594	3465	2654	1232	207	1218	1326	1320	639	627	3031	5424	271	193
"gene:Rv0774c"	851	308	662	1743	2275	1498	2758	1229	613	3399	2336	829	197	1060	1429	1114	548	766	2423	4464	313	226
"gene:Rv0775"	428	244	398	1195	1319	1241	1954	890	547	2309	1603	708	207	1231	1359	1302	736	761	1164	1774	300	316
"gene:Rv0776c"	144	56	92	202	242	197	258	121	99	303	205	93	42	215	233	359	204	208	283	396	67	29
"gene:Rv0777"	1029	341	628	1995	2634	1953	2878	1388	981	3501	2815	1096	219	1492	2419	2513	1268	1404	2934	4863	380	319
"gene:Rv0778"	519	285	481	1267	1739	1322	1627	882	584	2643	2014	814	136	857	1151	1092	479	547	2232	3836	295	197
"gene:Rv0779c"	28	15	41	63	88	55	92	53	27	160	130	28	5	39	59	59	25	32	117	201	27	11
"gene:Rv0780"	290	174	266	636	736	596	1060	579	242	1481	1129	446	54	323	406	233	103	119	1066	2106	162	92
"gene:Rv0781"	394	300	461	575	725	448	677	381	296	1285	1217	393	59	270	296	173	70	91	1386	2259	156	116
"gene:Rv0782"	277	227	267	459	632	427	674	362	179	1110	883	380	55	257	248	130	77	87	768	1330	94	95
"gene:Rv0783c"	571	262	549	1434	2064	1477	2163	1350	615	3649	2598	862	198	1072	1158	1127	538	627	2587	4392	440	321
"gene:Rv0784"	139	73	123	267	419	283	366	204	108	574	409	216	40	208	259	340	163	219	417	726	64	43
"gene:Rv0785"	330	153	340	640	867	639	884	514	306	1459	1099	444	88	365	349	301	132	200	1206	1934	177	131
"gene:Rv0786c"	258	137	280	560	618	479	638	376	220	992	859	341	66	375	480	421	235	203	753	1368	199	134
"gene:Rv0787"	61	27	69	174	227	181	331	148	72	480	313	119	22	95	110	72	25	49	225	326	19	18
"gene:Rv0787A"	99	13	51	194	244	205	262	91	122	415	290	114	31	145	195	129	68	73	274	295	51	44
"gene:Rv0788"	657	311	531	2163	3018	2612	2977	1300	932	3213	2282	990	266	1435	1674	1426	673	627	1839	3167	441	325
"gene:Rv0789c"	495	296	507	725	683	602	1082	582	372	471	365	156	129	611	926	862	432	530	670	1116	490	347
"gene:Rv0790c"	596	962	1406	417	543	445	218	137	115	295	281	121	75	440	488	1059	519	586	313	621	71	55
"gene:Rv0791c"	994	1854	2809	514	628	581	278	170	119	462	337	173	123	531	672	1585	793	959	437	657	102	67
"gene:Rv0792c"	912	1243	2015	406	530	385	207	133	109	457	383	121	52	411	456	1368	702	932	312	571	72	55
"gene:Rv0793"	162	237	336	64	41	38	26	22	16	41	20	11	3	46	40	135	57	103	33	47	11	11
"gene:Rv0794c"	329	217	269	564	974	641	754	511	261	987	741	316	80	505	644	470	242	262	583	1191	161	145
"gene:Rv0795"	9	4	7	20	28	25	41	25	11	54	32	18	1	5	21	21	8	17	45	87	5	5
"gene:Rv0796"	43	14	35	80	74	59	76	51	24	159	147	44	8	71	54	75	33	62	115	227	24	19
"gene:Rv0797"	48	43	56	141	173	149	215	134	67	214	179	115	15	121	103	116	55	54	105	162	42	28
"gene:Rv0798c"	443	183	382	1311	1498	1011	1531	795	515	2473	2005	814	148	767	979	855	459	468	2241	3848	280	181
"gene:Rv0799c"	373	220	335	1231	1076	952	1314	782	397	3391	2660	883	169	996	1007	1067	463	490	2428	4145	259	151
"gene:Rv0800"	266	145	195	514	759	550	644	333	264	1221	828	407	82	452	614	536	254	316	773	1383	82	77
"gene:Rv0801"	272	137	234	413	631	499	680	383	224	918	615	299	34	366	301	262	171	177	506	825	146	100
"gene:Rv0802c"	125	66	111	242	308	241	462	247	158	468	349	140	34	203	223	267	138	162	342	658	112	118
"gene:Rv0803"	920	364	763	3043	4046	2849	3559	1903	1149	7118	5560	2445	583	2623	3177	2728	1209	1445	4422	7542	535	354
"gene:Rv0804"	182	73	159	790	1233	960	1114	463	291	1602	1194	655	149	703	865	574	335	242	870	1390	83	77
"gene:Rv0805"	3491	2087	4380	7382	9430	7399	12541	6582	3721	13004	9877	3387	2837	19193	13001	18091	8318	9692	11289	19733	2934	2395
"gene:Rv0806c"	298	143	337	894	933	664	764	436	225	1037	730	294	117	641	758	607	269	408	811	1327	673	504
"gene:Rv0807"	149	72	144	213	224	168	432	253	155	306	222	88	30	227	515	322	173	237	233	421	93	58
"gene:Rv0808"	4716	2492	4319	8995	12829	10294	17096	8899	5589	11413	8126	3725	1611	8342	16668	14871	6692	7336	8640	14505	2510	2054
"gene:Rv0809"	734	344	590	2236	2732	2047	3237	1690	1106	4578	3222	1296	340	1925	2379	2549	1189	1148	3847	6588	594	463
"gene:Rv0810c"	2522	1653	2423	4346	6360	5021	8030	3890	2583	5441	3846	1673	735	4324	5068	8088	3914	4421	5861	9371	1571	1392
"gene:Rv0811c"	726	338	580	1587	1889	1760	2218	1061	825	2682	2021	985	268	1672	3180	4131	2115	2471	2148	3652	317	293
"gene:Rv0812"	266	125	272	872	1256	896	1522	694	409	1697	1404	594	192	744	1078	931	492	539	1192	2011	226	147
"gene:Rv0813c"	559	197	429	1819	2109	1762	2178	1081	719	4060	3157	1387	541	3851	3110	5122	2283	3034	2199	3731	505	385
"gene:Rv0814c"	754	350	598	1524	1822	1500	1700	990	602	2595	2035	748	511	3985	2176	4638	2118	3262	2766	4953	662	417
"gene:Rv0815c"	1100	560	1242	3041	2652	2300	2516	1394	1009	6310	4868	1598	1199	7942	3922	10281	4356	6781	5754	9523	1457	1002
"gene:Rv0816c"	44	47	79	142	117	115	151	75	34	336	227	105	20	130	159	240	101	145	300	498	42	18
"gene:Rv0817c"	70	44	47	221	233	148	211	128	73	417	321	113	15	188	241	260	97	142	496	747	54	24
"gene:Rv0818"	1085	604	1002	2699	3603	3231	3517	1779	1276	4537	3333	1602	599	2747	4340	4019	2022	2111	3465	5910	626	475
"gene:Rv0819"	327	199	278	1109	1524	1256	1290	610	430	2558	1852	819	246	1526	2207	2500	1191	1215	1600	2623	186	139
"gene:Rv0820"	223	127	239	826	1024	786	913	457	241	1341	1055	437	159	950	1359	1132	444	447	1679	2852	106	63
"gene:Rv0821c"	4360	1834	3499	9118	12673	10814	13254	6604	4576	6041	4668	1976	949	5647	10003	5835	3165	2809	8156	14294	2222	1468
"gene:Rv0822c"	1999	891	1876	5054	7127	5384	14038	5386	3078	13458	9814	3545	1653	9141	15882	10096	4673	3786	4484	8564	878	601
"gene:Rv0823c"	5089	2679	5595	13121	20600	16423	36332	14027	9765	27279	19138	7684	3176	19597	34026	37942	18550	19822	8123	14168	1082	786
"gene:Rv0824c"	15931	7782	16785	34071	53420	39023	66266	32751	25035	46269	33803	11136	4644	29917	45460	52811	23877	34688	28335	49339	2433	1917
"gene:Rv0825c"	221	156	231	701	627	422	1037	713	322	1049	785	258	134	903	757	1077	482	577	889	1515	330	236
"gene:Rv0826"	116	61	168	295	292	179	483	261	134	362	227	98	29	213	183	2152	1174	1405	407	633	287	198
"gene:Rv0827c"	1537	975	1483	263	533	470	1781	1182	1140	153	125	38	17	100	85	300	169	246	632	1038	169	132
"gene:Rv0828c"	15	3	25	57	77	60	85	69	35	241	177	69	10	108	76	106	33	56	114	154	34	31
"gene:Rv0829"	0	3	3	3	0	4	7	0	1	9	0	2	1	0	2	9	8	7	10	5	1	2
"gene:Rv0830"	223	109	261	912	1371	1070	467	262	166	500	423	139	83	543	831	1241	605	760	662	1130	148	82
"gene:Rv0831c"	2253	1183	2426	7144	8673	6072	5288	2948	1990	12028	9463	3251	653	3782	4969	3503	1477	2003	15830	25104	1039	739
"gene:Rv0832"	177	72	135	475	623	452	565	292	176	1175	865	302	66	291	381	418	223	225	710	1001	101	93
"gene:Rv0833"	366	94	258	1384	1807	1662	1643	666	516	3782	2908	1307	195	1054	1534	1333	761	793	986	1648	116	127
"gene:Rv0834c"	1439	514	1247	2437	3930	3264	5881	2295	1703	4706	3481	1596	781	4102	5536	22510	13912	14276	1755	3032	894	717
"gene:Rv0835"	207	86	106	409	503	370	614	328	204	647	574	174	79	424	426	790	385	482	621	1105	129	66
"gene:Rv0836c"	57	101	184	57	55	47	46	36	23	84	66	27	5	35	45	170	73	95	102	196	22	10
"gene:Rv0837c"	142	242	497	69	79	97	89	76	42	152	136	28	16	69	40	397	161	209	153	264	37	23
"gene:Rv0838"	192	82	141	486	568	465	536	325	153	872	672	219	44	323	363	657	376	378	615	1101	91	47
"gene:Rv0839"	483	180	381	1094	1073	932	4010	1440	1125	2553	1923	954	281	1671	1926	18234	10275	7215	1044	1960	835	513
"gene:Rv0840c"	66	45	113	71	127	125	206	78	51	234	214	91	15	87	126	702	467	429	224	311	69	27
"gene:Rv0841"	0	0	3	0	0	2	2	0	5	4	2	1	0	0	3	28	20	25	1	7	5	0
"gene:Rv0842"	104	40	81	161	213	180	332	184	103	313	251	83	18	119	149	160	103	92	232	310	66	31
"gene:Rv0843"	45	20	30	81	153	105	165	85	43	212	126	56	17	71	115	68	48	48	122	228	17	12
"gene:Rv0844c"	638	331	613	1312	2048	1477	1885	1034	573	3104	2243	839	155	1054	1780	1261	577	725	2350	3796	293	141
"gene:Rv0845"	167	80	147	442	539	415	552	329	195	1235	839	362	52	319	249	260	133	120	868	1387	109	75
"gene:Rv0846c"	265	226	446	289	318	228	447	310	208	512	332	111	35	217	211	368	206	341	430	727	598	513
"gene:Rv0847"	717	617	1559	272	295	201	326	193	191	508	370	153	6	32	47	404	263	505	978	1832	1348	1068
"gene:Rv0848"	332	270	893	145	190	149	192	108	75	335	271	93	3	57	38	153	110	193	405	550	703	538
"gene:Rv0849"	74	62	99	104	128	96	123	106	59	250	171	56	7	38	32	64	53	68	246	395	327	224
"gene:Rv0850"	14	7	12	30	37	37	38	8	18	82	78	16	3	13	11	4	4	7	60	167	108	66
"gene:Rv0851c"	176	96	143	316	392	277	745	403	261	638	444	214	29	217	265	241	136	101	306	645	94	89
"gene:Rv0852"	370	150	286	376	417	291	1172	668	454	681	451	192	27	217	257	179	75	90	370	527	241	156
"gene:Rv0853c"	645	244	460	1102	1424	1053	1528	943	616	1810	1291	469	147	871	775	959	505	616	1283	2361	360	282
"gene:Rv0854"	162	56	122	132	175	117	282	141	113	201	134	67	28	89	181	100	48	34	241	299	54	61
"gene:Rv0855"	281	141	195	515	610	615	1016	643	418	788	666	238	71	397	462	404	164	278	464	912	173	110
"gene:Rv0856"	209	126	158	480	546	401	519	339	232	751	520	217	63	339	408	404	160	169	773	1222	108	78
"gene:Rv0857"	237	120	229	577	752	540	710	358	217	1258	953	402	103	635	948	966	483	441	995	1621	164	153
"gene:Rv0858c"	303	135	275	826	974	603	1102	596	286	1622	1103	392	165	970	1089	1243	470	645	1134	1910	171	122
"gene:Rv0859"	3112	1676	3117	4914	7797	5215	10167	4078	2512	6111	4700	2008	1432	7652	8088	13484	6446	8202	2987	5534	945	687
"gene:Rv0860"	4156	1581	3288	6001	9033	5616	18193	6001	3538	11386	8152	3649	2016	12173	15220	21956	10405	11807	5168	9271	1340	966
"gene:Rv0861c"	468	241	455	1394	1925	1477	1676	866	655	3034	2285	956	198	1236	2201	1849	1044	998	2260	3757	373	264
"gene:Rv0862c"	563	266	498	1511	2205	1594	1643	947	568	3317	2488	907	259	1310	2261	2613	1145	1402	2046	3749	435	242
"gene:Rv0863"	68	34	80	160	116	141	127	75	39	193	179	40	16	117	122	168	53	97	230	479	23	21
"gene:Rv0864"	314	162	293	969	1480	1191	1008	535	340	2038	1569	642	196	779	984	1154	569	633	1717	2715	139	139
"gene:Rv0865"	84	38	78	273	468	310	274	203	114	660	534	244	52	248	322	338	223	287	408	692	45	27
"gene:Rv0866"	52	21	34	136	295	245	256	113	71	410	268	149	27	161	274	324	124	163	182	349	19	11
"gene:Rv0867c"	832	354	1476	5964	6707	4515	3106	1704	1022	17616	14597	6061	3801	20233	11575	4839	2458	3057	18066	33566	592	473
"gene:Rv0868c"	239	144	240	781	1082	783	767	485	247	1607	1216	427	133	788	1071	534	222	196	840	1519	174	179
"gene:Rv0869c"	1306	662	1109	2548	3823	3594	4920	2367	1372	3082	2307	908	435	2537	4853	2789	1366	1373	1619	3124	472	358
"gene:Rv0870c"	894	411	723	1297	1584	1284	2784	1528	1000	1183	950	339	177	1018	1558	824	386	463	1107	1772	326	302
"gene:Rv0871"	1304	469	929	2759	4085	3107	5477	2636	1626	4831	3558	1555	387	2265	2812	1534	765	863	2902	4557	649	459
"gene:Rv0872c"	2928	1169	2214	3599	5658	5089	8791	3938	3066	5494	3942	1807	912	4664	6886	13018	7070	7570	2083	3513	1228	1150
"gene:Rv0873"	1915	900	1351	3315	4583	3361	4982	2660	1856	5269	3685	1263	552	3194	4377	4143	2030	2676	5021	8809	1001	674
"gene:Rv0874c"	234	100	199	307	434	317	436	248	166	615	435	204	74	398	518	1695	1009	962	341	490	153	97
"gene:Rv0875c"	166	103	182	455	637	583	527	273	165	793	601	272	84	471	745	765	392	424	547	1166	63	54
"gene:Rv0876c"	1254	661	1190	2413	3531	2666	3151	1748	1190	3817	3099	1347	460	2304	3653	3991	2041	2427	3321	5816	477	369
"gene:Rv0877"	1960	867	1552	3691	5123	3630	7028	3686	2219	5272	3498	1740	639	4571	6177	7606	3590	4260	3046	5386	940	787
"gene:Rv0878c"	164	48	134	454	563	443	841	341	176	1016	737	299	92	518	610	313	140	153	527	731	55	41
"gene:Rv0879c"	433	141	326	1063	948	726	1476	965	480	1992	1446	601	162	889	889	610	236	371	1099	2162	154	122
"gene:Rv0880"	97	28	79	222	205	209	332	209	102	385	306	120	41	209	136	113	53	68	320	438	66	51
"gene:Rv0881"	60	24	73	263	290	188	270	182	114	471	331	162	29	174	191	101	40	76	253	504	30	44
"gene:Rv0882"	98	22	42	149	278	190	239	127	86	353	202	108	20	129	115	72	65	47	238	330	22	27
"gene:Rv0883c"	1443	707	1120	3179	3947	2649	3999	2370	1587	5412	4487	1849	602	3098	3457	2849	1337	2104	4573	8032	433	315
"gene:Rv0884c"	733	324	524	1612	2116	1510	1768	1077	638	2121	1793	646	298	1853	2915	3279	1641	2057	1957	3514	300	261
"gene:Rv0885"	1185	694	1028	1611	1846	1535	5552	2826	2158	1883	1377	439	3054	19388	22572	19158	8250	11388	804	1213	1045	806
"gene:Rv0886"	718	339	573	1433	2007	1634	4544	2279	1521	1375	1059	350	2271	13876	15431	14436	6517	7508	450	901	1015	708
"gene:Rv0887c"	44	11	43	71	81	75	90	67	34	110	137	41	0	43	29	22	10	11	142	227	40	26
"gene:Rv0888"	1260	1517	2169	1798	1611	792	3260	2408	1565	3410	2507	782	40	214	149	208	53	146	3242	5452	618	499
"gene:Rv0889c"	822	425	680	1549	2408	1908	2717	1459	791	2842	2053	792	151	1070	1652	923	468	583	2073	3787	275	193
"gene:Rv0890c"	692	325	683	2415	3402	2375	3163	2051	1013	4754	3414	1187	219	1041	1069	611	309	323	2991	5154	206	143
"gene:Rv0891c"	301	173	440	939	980	544	1601	906	443	1445	1034	321	110	645	573	249	119	154	1041	1731	240	142
"gene:Rv0892"	572	279	563	1584	1951	1536	2248	1378	789	2173	1758	515	85	560	451	318	136	201	2594	4172	390	260
"gene:Rv0893c"	94	61	110	208	310	202	256	126	76	809	617	179	23	113	176	81	31	42	715	1139	56	33
"gene:Rv0894"	27	12	29	51	54	49	134	81	36	177	106	52	12	68	97	46	30	29	121	194	11	10
"gene:Rv0895"	54	20	29	124	122	97	104	66	26	269	165	62	12	99	105	46	36	43	156	327	18	18
"gene:Rv0896"	5613	3458	5577	13686	20892	15468	11692	8171	5356	20646	14763	4924	1188	6710	11438	7324	3565	4398	22951	40799	2477	1787
"gene:Rv0897c"	389	178	332	941	1387	1209	1368	758	437	1795	1399	532	124	796	1522	1224	539	649	1276	2266	223	163
"gene:Rv0898c"	257	114	217	357	349	355	505	269	171	520	418	141	17	187	298	342	256	275	754	1219	129	98
"gene:Rv0899"	230	187	224	505	455	364	831	433	278	775	569	196	76	273	396	335	159	151	703	1103	175	174
"gene:Rv0900"	1	0	0	3	5	0	6	3	2	7	6	1	1	4	2	7	0	0	6	2	1	0
"gene:Rv0901"	243	105	209	472	616	510	1105	610	319	800	531	249	59	440	604	299	148	131	539	837	101	76
"gene:Rv0902c"	581	268	430	1494	2063	1547	1785	846	534	3006	2646	987	263	1341	1829	2272	1339	1472	2070	3950	428	262
"gene:Rv0903c"	931	520	795	1716	2541	1889	2213	1202	945	2806	2238	1104	249	1389	2190	3075	1672	2016	2735	5231	410	264
"gene:Rv0904c"	182	97	147	511	602	455	662	395	231	870	705	277	80	505	487	579	249	291	559	979	134	84
"gene:Rv0905"	716	411	788	1231	1823	1276	1071	638	404	1697	1289	594	237	1375	1748	1982	993	1165	1945	3474	236	151
"gene:Rv0906"	593	309	506	1247	1753	1558	1792	981	596	2154	1707	767	366	2433	2662	3480	1804	2015	1883	3484	359	249
"gene:Rv0907"	308	160	205	763	969	811	979	584	323	1296	1005	408	169	1101	1422	1386	610	612	1329	2339	202	161
"gene:Rv0908"	483	185	426	1749	2309	1912	1946	1180	720	2965	2166	911	309	1894	2792	2150	1012	797	2766	4655	253	185
"gene:Rv0909"	40	26	42	93	170	136	150	50	59	169	136	51	17	121	132	103	36	58	131	227	44	39
"gene:Rv0910"	719	318	512	1182	1657	1028	2103	1092	729	2408	1880	738	166	1035	1381	1298	640	670	1832	2894	356	290
"gene:Rv0911"	236	125	239	628	803	630	1236	545	336	1380	967	415	91	620	784	688	275	301	776	1707	169	140
"gene:Rv0912"	161	105	149	442	549	473	793	371	179	1156	795	308	38	244	321	222	99	99	531	1014	69	59
"gene:Rv0913c"	1007	436	853	1458	1891	1364	2513	1485	991	2342	1739	654	209	1159	1755	1061	629	569	1693	2804	407	283
"gene:Rv0914c"	956	403	682	1281	1624	1222	2627	1293	783	1998	1435	643	199	1230	1916	1386	676	787	1222	2266	248	205
"gene:Rv0915c"	83	90	89	106	179	134	226	125	86	306	194	81	16	126	138	155	68	77	169	320	41	36
"gene:Rv0916c"	52	9	19	29	46	40	75	27	22	101	67	29	5	27	61	31	12	6	77	91	12	27
"gene:Rv0917"	400	165	315	993	1167	827	1787	1037	636	1423	1186	404	99	668	641	435	234	229	900	1577	247	252
"gene:Rv0918"	85	65	72	129	133	76	175	83	58	206	147	62	26	95	104	200	98	125	189	310	38	26
"gene:Rv0919"	57	35	55	110	78	58	139	80	45	132	92	62	25	92	69	163	68	108	131	203	53	45
"gene:Rv0920c"	356	257	454	1270	1410	1075	2045	1111	608	2835	2138	745	138	837	886	594	271	403	1637	3012	474	292
"gene:Rv0921"	62	64	74	169	242	177	229	78	76	264	223	86	19	172	195	305	117	195	228	254	73	29
"gene:Rv0922"	2610	1168	2599	6292	9048	6627	15508	8108	3969	9834	6928	2762	755	5125	6009	5045	2358	3324	5612	10893	1390	1162
"gene:Rv0923c"	267	123	259	1048	1100	793	1117	690	317	1941	1523	535	103	549	466	554	265	294	1374	2652	297	197
"gene:Rv0924c"	188	110	187	609	693	455	716	541	225	1024	782	355	46	279	206	165	80	101	675	1328	150	83
"gene:Rv0925c"	237	98	167	432	580	368	662	412	202	1048	801	224	46	208	180	138	73	106	941	1536	131	127
"gene:Rv0926c"	348	178	283	601	822	515	1041	626	386	1356	1073	412	68	443	609	300	165	188	972	1798	246	205
"gene:Rv0927c"	201	95	155	306	385	252	509	392	172	753	584	138	48	216	289	185	52	89	604	1094	83	47
"gene:Rv0928"	204	128	209	519	624	365	475	299	149	1583	1173	412	65	349	417	334	172	213	1346	2355	143	101
"gene:Rv0929"	173	85	105	361	499	353	317	299	120	970	696	321	29	210	271	206	87	87	715	1303	104	57
"gene:Rv0930"	306	145	206	788	993	845	922	510	289	1625	1135	506	73	458	478	438	238	247	1209	2251	227	156
"gene:Rv0931c"	6716	3391	6435	20092	27336	20751	23800	12922	7063	35138	27533	10844	3214	17402	28016	17834	8525	8034	25623	47299	4410	2921
"gene:Rv0932c"	5048	2589	4882	12516	18970	14205	18110	8828	5468	25042	18221	5489	1570	10272	16019	9568	4245	4725	19095	30561	3238	2613
"gene:Rv0933"	815	422	682	1806	1943	1375	3655	1853	992	2598	1838	649	254	1359	1859	622	281	328	2503	4156	270	184
"gene:Rv0934"	1762	686	1467	4083	5125	3537	5898	4040	2112	4869	3727	1427	652	3136	3806	1489	732	1008	5389	9919	688	529
"gene:Rv0935"	1073	376	873	3567	5078	4380	6071	2973	1724	4663	3102	1250	413	1837	2405	859	443	544	3371	6163	348	258
"gene:Rv0936"	739	357	730	3402	4260	3571	4121	2360	1253	3389	2356	1239	374	1809	2389	812	477	325	3046	5027	335	190
"gene:Rv0937c"	536	302	489	728	1006	746	1293	811	523	1653	1310	416	96	530	894	439	143	227	1408	2435	277	221
"gene:Rv0938"	1788	813	1521	2935	4705	3740	5008	2497	1543	5839	4589	1935	473	2189	4696	1710	867	698	3180	5426	563	368
"gene:Rv0939"	1537	846	1308	3035	4345	3721	5636	2808	1815	5440	3854	1758	397	2403	4791	2067	1262	1033	2808	4901	799	571
"gene:Rv0940c"	359	254	503	662	770	627	1211	668	339	1004	844	256	74	406	478	269	111	142	947	1490	443	273
"gene:Rv0941c"	533	256	508	967	1366	1011	2960	1335	713	1622	1076	429	83	668	896	601	301	341	987	1929	510	384
"gene:Rv0942"	66	24	57	42	68	40	215	148	90	50	41	12	7	15	19	16	9	16	44	106	51	36
"gene:Rv0943c"	22	14	19	53	90	81	100	66	23	93	62	21	8	53	72	36	19	21	51	83	30	35
"gene:Rv0944"	46	8	8	97	64	23	146	101	53	149	136	57	3	40	25	13	7	15	79	207	26	20
"gene:Rv0945"	358	217	408	720	918	614	1184	652	344	2277	1674	755	64	459	549	425	173	151	1187	2174	227	113
"gene:Rv0946c"	796	345	654	1585	1958	1491	2164	1171	687	2627	1986	728	165	1002	1612	1023	545	664	1850	3653	397	223
"gene:Rv0948c"	412	199	398	1498	1309	1059	2113	1029	562	5127	3744	1056	134	939	593	646	257	297	2221	3699	489	334
"gene:Rv0949"	490	217	475	1471	2109	1583	1711	919	508	3162	2254	987	165	1110	1406	1421	600	741	2066	3590	265	183
"gene:Rv0950c"	802	305	747	2375	2649	2053	2481	1492	898	7347	5159	2161	952	5371	3330	1907	987	1213	5232	9402	461	431
"gene:Rv0951"	709	368	682	2683	3621	2681	2190	1413	959	8848	6249	2447	640	3503	3700	3558	1628	2219	7035	11719	460	347
"gene:Rv0952"	362	227	428	1650	2410	1736	1171	687	530	5088	3080	1138	322	2095	2430	1991	1035	1188	4970	7880	316	255
"gene:Rv0953c"	80	49	78	112	173	123	221	95	73	245	192	70	14	104	130	72	50	64	125	213	31	50
"gene:Rv0954"	2513	960	1900	6561	8431	5490	8983	4946	2835	14483	10464	4006	892	4974	5223	5064	2148	2838	8301	15030	1144	724
"gene:Rv0955"	744	322	605	2046	3431	2494	3148	1674	925	4827	3444	1565	300	1878	1948	1793	840	802	2690	4552	402	232
"gene:Rv0956"	143	77	157	566	538	406	648	360	157	1104	883	362	87	403	427	405	185	172	766	1308	130	80
"gene:Rv0957"	656	340	635	2114	2776	1943	2201	1373	725	4249	3361	1287	244	1362	1241	1069	453	624	3161	5842	416	282
"gene:Rv0958"	621	244	480	1335	1723	1396	2167	1102	737	2492	1948	822	266	1374	1789	2361	1199	1217	1301	2373	298	242
"gene:Rv0959"	621	236	515	1479	2417	1831	2217	1243	771	2666	2046	939	295	1567	1959	2495	1242	1439	1430	2580	414	318
"gene:Rv0959A"	23	5	14	37	67	44	39	37	19	82	60	14	4	41	39	26	4	5	26	101	5	4
"gene:Rv0960"	69	34	81	278	437	284	356	223	128	409	273	158	28	139	187	103	53	49	218	439	45	50
"gene:Rv0961"	744	354	602	1267	1442	1171	2551	1150	756	2210	1461	632	94	561	797	371	198	155	1255	2105	344	315
"gene:Rv0962c"	4	9	20	16	20	20	24	13	12	70	90	10	7	31	28	30	26	8	42	88	9	13
"gene:Rv0963c"	23	11	28	49	46	31	91	41	27	166	126	20	4	16	18	13	9	25	92	151	19	15
"gene:Rv0964c"	22	16	26	81	118	91	97	67	22	243	201	75	8	118	85	119	80	34	146	258	24	14
"gene:Rv0965c"	177	89	162	307	411	333	458	222	157	607	375	218	61	247	303	295	149	184	502	947	83	70
"gene:Rv0966c"	415	141	218	984	978	700	1326	718	442	2214	1640	660	139	727	932	1470	643	1051	1850	2772	148	155
"gene:Rv0967"	99	52	75	225	242	241	323	175	95	434	351	149	38	229	286	1127	648	680	374	644	200	178
"gene:Rv0968"	93	49	58	99	154	148	139	94	91	153	169	79	17	86	159	365	237	267	194	285	66	61
"gene:Rv0969"	393	176	333	939	1449	1091	1374	692	425	2267	1881	838	146	832	1379	3630	2214	3024	1171	1939	544	451
"gene:Rv0970"	115	76	122	554	665	552	845	369	267	1056	842	306	73	338	422	498	310	323	498	892	224	164
"gene:Rv0971c"	93	18	67	215	331	267	395	172	109	544	450	182	129	721	1012	786	314	391	208	392	54	40
"gene:Rv0972c"	106	18	69	253	385	270	680	197	111	812	610	240	192	1011	1322	1402	671	571	337	685	68	28
"gene:Rv0973c"	305	144	252	483	709	556	1646	466	278	1573	1267	590	407	2204	2585	3129	1449	1256	610	1153	103	42
"gene:Rv0974c"	272	134	250	383	525	363	1673	446	238	1090	843	367	216	1208	1100	2185	1018	824	456	839	77	35
"gene:Rv0975c"	124	76	170	228	307	199	722	235	109	550	448	194	85	537	504	1178	547	515	228	377	25	19
