"SRR1917694_sorted"	"SRR1917695_sorted"	"SRR1917696_sorted"	"SRR1917697_sorted"	"SRR1917698_sorted"	"SRR1917699_sorted"	"SRR1917700_sorted"	"SRR1917701_sorted"	"SRR1917702_sorted"	"SRR1917703_sorted"	"SRR1917704_sorted"	"SRR1917705_sorted"	"SRR1917706_sorted"	"SRR1917707_sorted"	"SRR1917708_sorted"	"SRR1917709_sorted"	"SRR1917710_sorted"	"SRR1917711_sorted"	"SRR1917712_sorted"	"SRR1917713_sorted"	"SRR1917714_sorted"	"SRR1917715_sorted"
"gene:Rv0015c"	755	294	766	2978	4023	3248	4183	1979	1113	8274	5976	2756	477	2732	3903	2944	1411	1548	4276	7775	331	251
"gene:Rv0016c"	803	430	925	3109	4214	3261	3624	2095	1230	5853	4421	1699	461	2589	4060	2999	1260	1263	4923	8864	483	444
"gene:Rv0017c"	1162	442	970	4297	5069	3983	4773	2692	1638	7411	5376	1709	516	2640	4170	3240	1385	1583	7188	12697	747	532
"gene:Rv0018c"	1168	555	1191	4557	5835	4447	5170	3026	1486	9768	7525	2988	820	4291	6180	5303	2520	2829	6823	12504	948	601
"gene:Rv0019c"	209	122	181	879	1341	1018	991	473	305	2276	1758	734	124	863	1218	1133	591	584	1656	2724	178	151
"gene:Rv0020c"	3586	1763	3668	11378	15205	11829	11445	6225	3696	25705	21151	6663	1746	9998	13947	15072	7089	8995	17780	31798	1849	1376
"gene:Rv0021c"	182	67	136	477	581	387	586	354	212	1197	938	345	61	373	398	498	236	320	829	1421	115	88
"gene:Rv0022c"	6	3	6	13	26	13	30	4	9	37	23	8	0	15	22	45	12	10	15	51	4	11
"gene:Rv0023"	133	57	108	355	632	442	370	239	123	594	525	224	62	396	755	607	315	331	846	1499	50	26
"gene:Rv0024"	151	68	89	396	700	455	421	238	163	991	718	306	75	335	723	656	300	462	624	1257	45	24
"gene:Rv0025"	123	77	118	259	303	248	339	181	146	445	402	106	24	191	270	252	122	135	465	685	44	49
"gene:Rv0026"	311	138	263	846	957	802	1212	679	334	1764	1416	600	87	554	623	567	280	305	1119	1722	197	144
"gene:Rv0027"	73	28	79	136	189	158	223	117	51	206	178	51	29	142	117	167	76	97	170	333	71	42
"gene:Rv0028"	90	29	57	185	187	157	205	129	76	259	178	95	42	147	195	184	100	103	221	337	73	47
"gene:Rv0029"	443	274	413	1097	1274	1121	1648	880	535	2153	1539	656	146	733	914	701	305	341	1392	2305	397	292
"gene:Rv0030"	50	44	35	98	116	97	262	116	70	289	211	86	14	73	42	43	12	28	202	249	75	63
"gene:Rv0031"	10	4	24	46	24	22	51	17	7	79	56	24	3	16	11	18	18	7	47	98	15	14
"gene:Rv0032"	152	58	137	964	1032	794	482	313	201	1569	1026	456	59	303	299	235	118	140	737	1363	124	80
"gene:Rv0033"	7	0	0	17	25	12	6	2	2	19	14	0	0	10	3	2	1	0	20	25	7	0
"gene:Rv0034"	18	1	6	92	90	40	31	32	10	93	69	38	3	15	12	11	5	10	57	103	1	4
"gene:Rv0035"	245	99	262	1614	1715	1569	748	574	312	2109	1424	529	73	502	367	271	123	158	1256	2015	123	86
"gene:Rv0036c"	739	322	526	1664	2174	1571	2276	1390	785	3069	2242	999	239	1481	2178	1623	742	1131	2120	3834	376	273
"gene:Rv0037c"	603	246	427	1535	1783	1408	2134	1219	762	2995	2014	979	287	1485	1708	1519	742	836	1499	2914	244	208
"gene:Rv0038"	989	440	696	1715	2761	2220	3064	1445	989	2967	2242	972	254	1520	2559	1685	954	890	2191	3601	308	231
"gene:Rv0039c"	463	126	256	1080	1420	852	1692	874	469	2478	1815	715	112	602	775	585	254	376	1375	2423	186	78
