"ERR2103718_sorted"	"ERR2103722_sorted"	"ERR2103723_sorted"
"putative_sRNA:p526156_526571"	32	29	32
"putative_sRNA:p530533_530826"	92	138	104
"putative_sRNA:p536576_536815"	38	52	28
"putative_sRNA:p540241_540534"	50	67	59
"putative_sRNA:p549122_549432"	18	23	14
"putative_sRNA:m551368_552188"	217	253	248
"putative_sRNA:m591929_592267"	52	58	47
"putative_sRNA:m600969_601320"	54	58	72
"putative_sRNA:m610454_611057"	383	281	326
"putative_sRNA:m629862_629974"	76	131	95
"putative_sRNA:m631165_631941"	132	194	156
"putative_sRNA:m665751_665817"	108	149	276
"putative_sRNA:p666595_666820"	13	19	20
"putative_sRNA:m690797_691079"	0	3	1
"putative_sRNA:m701116_701328"	69	41	38
"putative_sRNA:p704213_704463"	19	27	37
"putative_sRNA:p728405_729199"	44	43	46
"putative_sRNA:m732220_732623"	10	25	9
"putative_sRNA:p740061_740410"	166	230	236
"putative_sRNA:p767366_768899"	226	462	290
"putative_sRNA:m767396_767540"	17	35	41
"putative_sRNA:p781357_781506"	596	860	667
"putative_sRNA:p789579_790327"	51	52	36
"putative_sRNA:p820277_820763"	59	54	57
"putative_sRNA:m831952_832158"	2	8	10
"putative_sRNA:p850683_851474"	173	187	150
"putative_sRNA:m852354_852670"	59	38	45
"putative_sRNA:m871732_872090"	16	34	23
"putative_sRNA:m881907_882387"	100	117	111
"putative_sRNA:p885962_886383"	66	76	66
"putative_sRNA:m903930_904098"	58	84	46
"putative_sRNA:m912090_912513"	44	30	34
"putative_sRNA:p918837_919248"	26	33	28
"putative_sRNA:p924388_924615"	132	188	151
"putative_sRNA:p932208_932626"	37	24	27
"putative_sRNA:m937509_938240"	489	753	604
"putative_sRNA:m946514_946677"	22	17	10
"putative_sRNA:m980011_980206"	8	11	8
"putative_sRNA:p987053_987112"	50	65	61
"putative_sRNA:m988078_988256"	37	48	52
"putative_sRNA:p1001319_1001560"	45	65	50
"putative_sRNA:p1006762_1007103"	74	64	52
"putative_sRNA:m1024089_1024350"	1	8	7
"putative_sRNA:m1024671_1025292"	476	475	374
"putative_sRNA:m1027052_1027173"	20	8	16
"putative_sRNA:p1040655_1040969"	67	80	71
"putative_sRNA:m1073404_1073759"	8	17	13
"putative_sRNA:p1096228_1096585"	13	13	12
"putative_sRNA:p1107458_1107810"	10	17	14
"putative_sRNA:p1113887_1114263"	325	559	348
"putative_sRNA:m1114805_1115198"	55	37	37
"putative_sRNA:m1123830_1124285"	81	78	60
"putative_sRNA:p1134730_1135106"	67	101	84
"putative_sRNA:p1136884_1137814"	51	82	56
"putative_sRNA:m1147862_1148240"	71	98	84
"putative_sRNA:p1149690_1150083"	32	27	18
"putative_sRNA:m1169589_1169958"	15	52	57
"putative_sRNA:m1169970_1170726"	357	689	876
"putative_sRNA:m1203077_1203259"	30	13	17
"putative_sRNA:m1212381_1212438"	0	2	0
"putative_sRNA:m1221330_1221582"	7	9	2
"putative_sRNA:p1229478_1230124"	41	45	31
"putative_sRNA:p1242722_1243042"	68	80	67
"putative_sRNA:p1269659_1269804"	30	21	17
"putative_sRNA:m1271316_1272321"	3181	3390	2781
"putative_sRNA:m1274332_1274831"	32	43	23
"putative_sRNA:m1275191_1276007"	187	226	200
"putative_sRNA:m1276054_1276201"	83	100	80
"putative_sRNA:p1276519_1276821"	97	106	73
"putative_sRNA:p1283614_1284027"	21	50	38
"putative_sRNA:m1291476_1292096"	298	303	226
"putative_sRNA:p1299805_1300130"	49	40	30
"putative_sRNA:m1300597_1301164"	16	25	15
"putative_sRNA:p1306742_1307197"	103	91	64
"putative_sRNA:p1311846_1312122"	28	38	29
"putative_sRNA:m1313400_1313617"	61	82	82
"putative_sRNA:m1320806_1321060"	60	114	91
"putative_sRNA:p1326868_1327390"	706	678	647
"putative_sRNA:p1327543_1327878"	109	127	114
"putative_sRNA:m1333491_1333901"	12	23	13
"putative_sRNA:m1334250_1334544"	5	9	11
"putative_sRNA:p1342614_1342908"	328	521	516
"putative_sRNA:p1359157_1359905"	135	212	139
"putative_sRNA:m1365337_1365478"	1	2	3
"putative_sRNA:m1371077_1371654"	565	590	513
"putative_sRNA:p1372453_1372927"	153	176	145
"putative_sRNA:p1388439_1388897"	29	36	21
"putative_sRNA:p1392363_1392828"	49	72	48
"putative_sRNA:m1394172_1394970"	89	86	77
